dali_product_id,brand_name,product_name,product_part_number,gtin,DALI Parts
12080,MOSO,X8-042D062,X8-042D062,6972911671133,"101,102,150,207,250,251,252,253"
12115,Emergency Lighting Products...,SurePath DALI,SurePath DALI,5060410671493,"101,103"
12114,ALVIT,AL1025D-IP,AVUEAL1025DIPM,8057968030541,"101,102,207"
12111,Ecosense,Trov L45 RGBW 4ft Luminaire,Trov L45 RGBW 4ft Luminaire,199284397255,"101,102,209,224"
12117,Ekinex,EK-GD2-DL-2-L-01,EK-GD2-DL-2-L-01,8050054980126,"101,102,207"
12118,Ekinex,EK-GD2-DL-2-L-01,EK-GD2-DL-2-L-01,8050054980126,"101,102,209"
12060,MultiControls,LightBox MultiHub 4-Channel,MultiHub/4/DALI-2,5065025913020,"101,103"
12013,Cooper Lighting Solutions,WaveLinx DALI-2 Wallstation,WST-D2,080083457717,"101,103,301"
11919,MEAN WELL,SPWM-75-12DA2Q,SPWM-75-12DA2Q,4711287510958,"101,102,207,209,251"
11926,MEAN WELL,SPWM-75-24DA2Q,SPWM-75-24DA2Q,4711287510965,"101,102,207,209,251"
11934,MEAN WELL,SPWM-150-12DA2Q,SPWM-150-12DA2Q,4711287510996,"101,102,207,209,251"
11940,MEAN WELL,SPWM-150-24DA2Q,SPWM-150-24DA2Q,4711287511009,"101,102,207,209,251"
11948,MEAN WELL,SPWM-240-48DA2Q,SPWM-240-48DA2Q,4711287511047,"101,102,207,209,251"
12073,3AAA,HY-SR-SPLD2,LT2025121501,4251451970305,"101,103,303,304"
12074,Inventronics,HTi DALI 315 DIM,AA78196,6937186116277,"101,102,205"
12083,BOKE,BK-DTL042S-AHC1050ADPW,6971571383295,6971571383295,"101,102,207,251,252,253"
12084,BOKE,BK-DTL042S-AHC1050ADNW,6971571383301,6971571383301,"101,102,207,251,252,253"
12064,EAGLERISE,FLS-42-1050 DALI-2 LD1 ADV,FLS-42-1050 DALI-2 LD1 ADV,6937220702145,"101,102,207,251,252,253"
12065,EAGLERISE,FLS-16-450 DALI-2 LA ADV,FLS-16-450 DALI-2 LA ADV,6937220702282,"101,102,207,251,252,253"
12067,EAGLERISE,FLS-12-300 DALI-2 LD1 ADV,FLS-12-300 DALI-2 LD1 ADV,6937220702152,"101,102,207,251,252,253"
12068,EAGLERISE,FLS-30-700 DALI-2 LD1 ADV,FLS-30-700 DALI-2 LD1 ADV,6937220702138,"101,102,207,251,252,253"
12076,CUPOWER,ID ELSCB 40/230/300-1050 DALI DIP,A9900211,6978852110380,"101,102,207,251,252,253"
12014,LEF Lighting S.R.L.,MINICUBO24DP,MINICUBO24DP,8054521539343,"101,102,207"
12015,LEF Lighting S.R.L.,MINICUBO48DP,MINICUBO48DP,8054521539350,"101,102,207"
12079,OTTIMA,OTM-DD12/20,OTM-DD12/20,6978086380016,"101,102,207"
